,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,status,age,sex,survived
0,0,0,0,0,0,0,0,0,0,0,0,0,0,first,adult,male,yes
1,1,1,1,1,1,1,1,1,1,1,1,1,1,first,child,male,yes
2,2,2,2,2,2,2,2,2,2,2,2,2,2,first,adult,male,yes
3,3,3,3,3,3,3,3,3,3,3,3,3,3,first,adult,male,yes
4,4,4,4,4,4,4,4,4,4,4,4,4,4,first,adult,male,yes
5,5,5,5,5,5,5,5,5,5,5,5,5,5,first,adult,male,yes
6,6,6,6,6,6,6,6,6,6,6,6,6,6,first,adult,male,yes
7,7,7,7,7,7,7,7,7,7,7,7,7,7,first,adult,male,yes
8,8,8,8,8,8,8,8,8,8,8,8,8,8,first,adult,male,yes
9,9,9,9,9,9,9,9,9,9,9,9,9,9,first,adult,male,yes
10,10,10,10,10,10,10,10,10,10,10,10,10,10,first,adult,male,yes
11,11,11,11,11,11,11,11,11,11,11,11,11,11,first,adult,male,yes
12,12,12,12,12,12,12,12,12,12,12,12,12,12,first,adult,male,yes
13,13,13,13,13,13,13,13,13,13,13,13,13,13,first,adult,male,yes
14,14,14,14,14,14,14,14,14,14,14,14,14,14,first,adult,male,yes
15,15,15,15,15,15,15,15,15,15,15,15,15,15,first,adult,male,yes
16,16,16,16,16,16,16,16,16,16,16,16,16,16,first,adult,male,yes
17,17,17,17,17,17,17,17,17,17,17,17,17,17,first,adult,male,yes
18,18,18,18,18,18,18,18,18,18,18,18,18,18,first,adult,male,yes
19,19,19,19,19,19,19,19,19,19,19,19,19,19,first,adult,male,yes
20,20,20,20,20,20,20,20,20,20,20,20,20,20,first,adult,male,yes
21,21,21,21,21,21,21,21,21,21,21,21,21,21,first,adult,male,yes
22,22,22,22,22,22,22,22,22,22,22,22,22,22,first,adult,male,yes
23,23,23,23,23,23,23,23,23,23,23,23,23,23,first,adult,male,yes
24,24,24,24,24,24,24,24,24,24,24,24,24,24,first,adult,male,yes
25,25,25,25,25,25,25,25,25,25,25,25,25,25,first,adult,male,yes
26,26,26,26,26,26,26,26,26,26,26,26,26,26,first,adult,male,yes
27,27,27,27,27,27,27,27,27,27,27,27,27,27,first,adult,male,yes
28,28,28,28,28,28,28,28,28,28,28,28,28,28,first,adult,male,yes
29,29,29,29,29,29,29,29,29,29,29,29,29,29,first,adult,male,yes
30,30,30,30,30,30,30,30,30,30,30,30,30,30,first,adult,male,yes
31,31,31,31,31,31,31,31,31,31,31,31,31,31,first,adult,male,yes
32,32,32,32,32,32,32,32,32,32,32,32,32,32,first,adult,male,yes
33,33,33,33,33,33,33,33,33,33,33,33,33,33,first,adult,male,yes
34,34,34,34,34,34,34,34,34,34,34,34,34,34,first,adult,male,yes
35,35,35,35,35,35,35,35,35,35,35,35,35,35,first,adult,male,yes
36,36,36,36,36,36,36,36,36,36,36,36,36,36,first,adult,male,yes
37,37,37,37,37,37,37,37,37,37,37,37,37,37,first,adult,male,yes
38,38,38,38,38,38,38,38,38,38,38,38,38,38,first,adult,male,yes
39,39,39,39,39,39,39,39,39,39,39,39,39,39,first,adult,male,yes
40,40,40,40,40,40,40,40,40,40,40,40,40,40,first,adult,male,yes
41,41,41,41,41,41,41,41,41,41,41,41,41,41,first,adult,male,yes
42,42,42,42,42,42,42,42,42,42,42,42,42,42,first,adult,male,yes
43,43,43,43,43,43,43,43,43,43,43,43,43,43,first,adult,male,yes
44,44,44,44,44,44,44,44,44,44,44,44,44,44,first,adult,male,yes
45,45,45,45,45,45,45,45,45,45,45,45,45,45,first,adult,male,yes
46,46,46,46,46,46,46,46,46,46,46,46,46,46,first,adult,male,yes
47,47,47,47,47,47,47,47,47,47,47,47,47,47,first,adult,male,yes
48,48,48,48,48,48,48,48,48,48,48,48,48,48,first,adult,male,yes
49,49,49,49,49,49,49,49,49,49,49,49,49,49,first,adult,male,yes
50,50,50,50,50,50,50,50,50,50,50,50,50,50,first,adult,male,yes
51,51,51,51,51,51,51,51,51,51,51,51,51,51,first,adult,male,yes
52,52,52,52,52,52,52,52,52,52,52,52,52,52,first,adult,male,yes
53,53,53,53,53,53,53,53,53,53,53,53,53,53,first,adult,male,yes
54,54,54,54,54,54,54,54,54,54,54,54,54,54,first,adult,male,yes
55,55,55,55,55,55,55,55,55,55,55,55,55,55,first,adult,male,yes
56,56,56,56,56,56,56,56,56,56,56,56,56,56,first,adult,male,yes
57,57,57,57,57,57,57,57,57,57,57,57,57,57,first,adult,male,no
58,58,58,58,58,58,58,58,58,58,58,58,58,58,first,adult,male,no
59,59,59,59,59,59,59,59,59,59,59,59,59,59,first,adult,male,no
60,60,60,60,60,60,60,60,60,60,60,60,60,60,first,adult,male,no
61,61,61,61,61,61,61,61,61,61,61,61,61,61,first,adult,male,no
62,62,62,62,62,62,62,62,62,62,62,62,62,62,first,adult,male,no
63,63,63,63,63,63,63,63,63,63,63,63,63,63,first,adult,male,no
64,64,64,64,64,64,64,64,64,64,64,64,64,64,first,adult,male,no
65,65,65,65,65,65,65,65,65,65,65,65,65,65,first,adult,male,no
66,66,66,66,66,66,66,66,66,66,66,66,66,66,first,adult,male,no
67,67,67,67,67,67,67,67,67,67,67,67,67,67,first,adult,male,no
68,68,68,68,68,68,68,68,68,68,68,68,68,68,first,adult,male,no
69,69,69,69,69,69,69,69,69,69,69,69,69,69,first,adult,male,no
70,70,70,70,70,70,70,70,70,70,70,70,70,70,first,adult,male,no
71,71,71,71,71,71,71,71,71,71,71,71,71,71,first,adult,male,no
72,72,72,72,72,72,72,72,72,72,72,72,72,72,first,adult,male,no
73,73,73,73,73,73,73,73,73,73,73,73,73,73,first,adult,male,no
74,74,74,74,74,74,74,74,74,74,74,74,74,74,first,adult,male,no
75,75,75,75,75,75,75,75,75,75,75,75,75,75,first,adult,male,no
76,76,76,76,76,76,76,76,76,76,76,76,76,76,first,adult,male,no
77,77,77,77,77,77,77,77,77,77,77,77,77,77,first,adult,male,no
78,78,78,78,78,78,78,78,78,78,78,78,78,78,first,adult,male,no
79,79,79,79,79,79,79,79,79,79,79,79,79,79,first,adult,male,no
80,80,80,80,80,80,80,80,80,80,80,80,80,80,first,adult,male,no
81,81,81,81,81,81,81,81,81,81,81,81,81,81,first,adult,male,no
82,82,82,82,82,82,82,82,82,82,82,82,82,82,first,adult,male,no
83,83,83,83,83,83,83,83,83,83,83,83,83,83,first,adult,male,no
84,84,84,84,84,84,84,84,84,84,84,84,84,84,first,adult,male,no
85,85,85,85,85,85,85,85,85,85,85,85,85,85,first,adult,male,no
86,86,86,86,86,86,86,86,86,86,86,86,86,86,first,adult,male,no
87,87,87,87,87,87,87,87,87,87,87,87,87,87,first,adult,male,no
88,88,88,88,88,88,88,88,88,88,88,88,88,88,first,adult,male,no
89,89,89,89,89,89,89,89,89,89,89,89,89,89,first,adult,male,no
90,90,90,90,90,90,90,90,90,90,90,90,90,90,first,adult,male,no
91,91,91,91,91,91,91,91,91,91,91,91,91,91,first,adult,male,no
92,92,92,92,92,92,92,92,92,92,92,92,92,92,first,adult,male,no
93,93,93,93,93,93,93,93,93,93,93,93,93,93,first,adult,male,no
94,94,94,94,94,94,94,94,94,94,94,94,94,94,first,adult,male,no
95,95,95,95,95,95,95,95,95,95,95,95,95,95,first,adult,male,no
96,96,96,96,96,96,96,96,96,96,96,96,96,96,first,adult,male,no
97,97,97,97,97,97,97,97,97,97,97,97,97,97,first,adult,male,no
98,98,98,98,98,98,98,98,98,98,98,98,98,98,first,adult,male,no
99,99,99,99,99,99,99,99,99,99,99,99,99,99,first,adult,male,no
100,100,100,100,100,100,100,100,100,100,100,100,100,100,first,adult,male,no
101,101,101,101,101,101,101,101,101,101,101,101,101,101,first,adult,male,no
102,102,102,102,102,102,102,102,102,102,102,102,102,102,first,adult,male,no
103,103,103,103,103,103,103,103,103,103,103,103,103,103,first,adult,male,no
104,104,104,104,104,104,104,104,104,104,104,104,104,104,first,adult,male,no
105,105,105,105,105,105,105,105,105,105,105,105,105,105,first,adult,male,no
106,106,106,106,106,106,106,106,106,106,106,106,106,106,first,adult,male,no
107,107,107,107,107,107,107,107,107,107,107,107,107,107,first,adult,male,no
108,108,108,108,108,108,108,108,108,108,108,108,108,108,first,adult,male,no
109,109,109,109,109,109,109,109,109,109,109,109,109,109,first,adult,male,no
110,110,110,110,110,110,110,110,110,110,110,110,110,110,first,adult,male,no
111,111,111,111,111,111,111,111,111,111,111,111,111,111,first,adult,male,no
112,112,112,112,112,112,112,112,112,112,112,112,112,112,first,adult,male,no
113,113,113,113,113,113,113,113,113,113,113,113,113,113,first,adult,male,no
114,114,114,114,114,114,114,114,114,114,114,114,114,114,first,adult,male,no
115,115,115,115,115,115,115,115,115,115,115,115,115,115,first,adult,male,no
116,116,116,116,116,116,116,116,116,116,116,116,116,116,first,adult,male,no
117,117,117,117,117,117,117,117,117,117,117,117,117,117,first,adult,male,no
118,118,118,118,118,118,118,118,118,118,118,118,118,118,first,adult,male,no
119,119,119,119,119,119,119,119,119,119,119,119,119,119,first,adult,male,no
120,120,120,120,120,120,120,120,120,120,120,120,120,120,first,adult,male,no
121,121,121,121,121,121,121,121,121,121,121,121,121,121,first,adult,male,no
122,122,122,122,122,122,122,122,122,122,122,122,122,122,first,adult,male,no
123,123,123,123,123,123,123,123,123,123,123,123,123,123,first,adult,male,no
